,Attack,SynBA_Annotation,TextFooler_Annotation,BAE_Annotation
0,"<font color = green>POS (99.98%)</font> --> <font color = red>NEG (99.98%)</font> </br></br> <b>Original:</b> We've hiked over 600 miles of the AT, south from Springer to Virginia. I felt like we were hiking along on the part we have already seen, and it made me even more <font color = green>anxious</font> to see the other 1500 miles. Very well done. </br></br> <b>SynBA:</b> We've hiked over 600 miles of the AT, south from Springer to Virginia. I felt like we were hiking along on the part we have already seen, and it made me even more <font color = red>agitated</font> to see the other 1500 miles. Very well done. </br></br> <b>TextFooler:</b> We've hiked over 600 miles of the AT, south from Springer to Virginia. I felt like we were hiking along on the part we have already seen, and it made me even more anxious to see the other 1500 miles. Very <font color = red>too</font> done. </br></br> <b>BAE:</b> We've <font color = red>traveled</font> over 600 miles of the AT, south from Springer to Virginia. I felt like we were hiking along on the part we have already seen, and it made me <font color = red>not</font> more anxious to see the other 1500 miles. Very <font color = red>just</font> done.",CONSISTENT,CONSISTENT,INCONSISTENT
1,"<font color = red>NEG (99.98%)</font> --> <font color = green>POS (99.66%)</font> </br></br> <b>Original:</b> After reading all the great reviews I was thinking that this stuff was really strong and going to work. I was expecting to feel a light burning sensation so I could tell that it was working. I <font color = red>tried</font> using this several times and it did <font color = red>nothing</font>. I don't know if I just got a bad one because it looked like it was <font color = red>somewhat</font> <font color = red>melted</font> when I opened it. Too me, I felt like I was putting chapstick on a wart and hoping it would work. </br></br> <b>SynBA:</b> After reading all the great reviews I was thinking that this stuff was really strong and going to work. I was expecting to feel a light burning sensation so I could tell that it was working. I <font color = green>strive</font> using this several times and it did <font color = green>somethings</font>. I don't know if I just got a bad one because it looked like it was <font color = green>slightly</font> <font color = green>magma</font> when I opened it. Too me, I felt like I was putting chapstick on a wart and hoping it would work. </br></br> <b>TextFooler:</b> After reading all the great reviews I was <font color = green>brainchild</font> that this stuff was really strong and going to work. I was expecting to feel a light burning sensation so I could tell that it was working. I tried using this several times and it did nothing. I don't know if I just got a bad one because it looked like it was somewhat melted when I opened it. Too me, I <font color = green>deems</font> like I was putting chapstick on a wart and <font color = green>sufferance</font> it would work. </br></br> <b>BAE:</b> After reading all the great reviews I was <font color = green>getting</font> that this stuff was really strong and going to work. I was expecting to feel a light burning sensation so <font color = green>you</font> could tell that it was working. I <font color = green>try</font> using this several times and it did nothing. I don't know if I just got a bad one because it <font color = green>look</font> like it was somewhat melted when I opened it. Too me, I <font color = green>did</font> <font color = green>while</font> I was putting chapstick on a wart and <font color = green>realized</font> it would work.",UNCLEAR,CONSISTENT,CONSISTENT
2,"<font color = red>NEG (99.99%)</font> --> <font color = green>POS (68.98%)</font> </br></br> <b>Original:</b> I bought this coffee maker last weekend to replace our old Mr. Coffee, <font color = red>thinking</font> that the carafe would be nice to keep the coffee hot longer. Boy was I wrong. First off, the coffee doesn't even start off hot, so keeping it that way is a joke. You have to actually buy this thing and then read the instructions to find our their suggestion of pre-heating the pot. This doesn't work so well for someone who works. We get programable pots so the coffee will be made when we get up, right? <font color = red>Mine</font> is going right back to the store this weekend. Don't <font color = red>waste</font> your <font color = red>money</font>, this coffee <font color = red>pot</font> is <font color = red>terrible</font>! </br></br> <b>SynBA:</b> I bought this coffee maker last weekend to replace our old Mr. Coffee, <font color = green>believing</font> that the carafe would be nice to keep the coffee hot longer. Boy was I wrong. First off, the coffee doesn't even start off hot, so keeping it that way is a joke. You have to actually buy this thing and then read the instructions to find our their suggestion of pre-heating the pot. This doesn't work so well for someone who works. We get programable pots so the coffee will be made when we get up, right? <font color = green>Claymore</font> is going right back to the store this weekend. Don't <font color = green>detritus</font> your <font color = green>monies</font>, this coffee <font color = green>herb</font> is <font color = green>fearsome</font>! </br></br> <b>TextFooler:</b> I bought this coffee maker last weekend to replace our old Mr. Coffee, thinking that the carafe would be nice to keep the coffee hot longer. Boy was I wrong. <font color = green>Originally</font> off, the coffee doesn't even start off hot, so keeping it that way is a <font color = green>joking</font>. You have to actually buy this thing and then read the instructions to find our their suggestion of pre-heating the pot. This doesn't work so well for someone who works. We get programable pots so the coffee will be made when we get up, right? Mine is going right back to the store this weekend. Don't waste your <font color = green>currency</font>, this coffee pot is <font color = green>monstrous</font>! </br></br> <b>BAE:</b> I bought this coffee maker last weekend to replace our old Mr. Coffee, thinking that the carafe would be nice to keep the coffee hot longer. Boy was I <font color = green>right</font>. <font color = green>far</font> off, the coffee doesn't even start off hot, so keeping it that way is a joke. You have to actually buy this thing and then read the instructions to find our their suggestion of <font color = green>having</font> the pot. This doesn't work so well for someone who works. <font color = green>us</font> get <font color = green>separate</font> pots so the coffee will be made when we get up, right? Mine is going right back to the store this weekend. Don't <font color = green>wasting</font> your money, this coffee pot is <font color = green>fantastic</font>!",CONSISTENT,CONSISTENT,INCONSISTENT
3,"<font color = green>POS (99.83%)</font> --> <font color = red>NEG (82.26%)</font> </br></br> <b>Original:</b> One cannot <font color = green>praise</font> enough the work of this author. I have read works on Christ from Geis to White to Riciotti to Sheen. It has its own starting point, and its own end point. One works through Shusaku Endo's text marveling at its simplicity, gentleness, and warmth. Not scholarly, it does not miss a beat in offending the academic exegetes of today whose attempts at commentary Endo leaves far, far behind with his display of understanding and appreciation of this <font color = green>Christ</font>. And the book's end point-- one is saddened when it comes because through Endo one has been brought back to the life of a great and good Man, Whom many still today believe was God incarnate. Endo has <font color = green>gone</font> far in persuading the reader that the belief is not misguided. </br></br> <b>SynBA:</b> One cannot <font color = red>commendation</font> enough the work of this author. I have read works on Christ from Geis to White to Riciotti to Sheen. It has its own starting point, and its own end point. One works through Shusaku Endo's text marveling at its simplicity, gentleness, and warmth. Not scholarly, it does not miss a beat in offending the academic exegetes of today whose attempts at commentary Endo leaves far, far behind with his display of understanding and appreciation of this <font color = red>Geez</font>. And the book's end point-- one is saddened when it comes because through Endo one has been brought back to the life of a great and good Man, Whom many still today believe was God incarnate. Endo has <font color = red>vaporized</font> far in persuading the reader that the belief is not misguided. </br></br> <b>TextFooler:</b> One cannot praise enough the work of this author. I have read works on Christ from Geis to White to Riciotti to Sheen. It has its own starting point, and its own end point. One works through Shusaku Endo's text marveling at its simplicity, gentleness, and warmth. Not scholarly, it does not miss a beat in offending the academic exegetes of today whose attempts at commentary Endo leaves far, far behind with his display of understanding and appreciation of this Christ. And the book's end point-- one is saddened when it comes because through Endo one has been brought back to the life of a great and good Man, Whom many still today believe was <font color = red>Dieu</font> <font color = red>evoke</font>. Endo has gone far in persuading the <font color = red>readership</font> that the <font color = red>foi</font> is not misguided. </br></br> <b>BAE:</b> One cannot praise <font color = red>of</font> the work of this author. I have read works on Christ from Geis to White to Riciotti to Sheen. It has its own starting point, and its own end point. One works through Shusaku Endo's text marveling at its simplicity, gentleness, and warmth. Not scholarly, it does not miss a beat in offending the academic exegetes of today whose attempts at commentary Endo leaves far, far behind with his display of understanding and appreciation of this Christ. And the book's end point-- one is saddened when it comes because through Endo one has been brought back to the life of a great and good Man, Whom many still today believe was God incarnate. Endo has gone far in persuading the reader that the belief is not misguided.",CONSISTENT,UNCLEAR,CONSISTENT
4,<font color = red>NEG (99.85%)</font> --> <font color = green>POS (92.92%)</font> </br></br> <b>Original:</b> I'm just adding a 1-star review in the vain hope that we'll see the original (1978-82) <font color = red>theatrical</font> versions of this trilogy on Blu-ray <font color = red>sooner</font> <font color = red>rather</font> than later. </br></br> <b>SynBA:</b> I'm just adding a 1-star review in the vain hope that we'll see the original (1978-82) <font color = green>spectacular</font> versions of this trilogy on Blu-ray <font color = green>prompt</font> <font color = green>very</font> than later. </br></br> <b>TextFooler:</b> I'm just adding a 1-star review in the vain hope that we'll see the original (1978-82) <font color = green>phenomenal</font> versions of this trilogy on Blu-ray sooner <font color = green>even</font> than later. </br></br> <b>BAE:</b> I'm just <font color = green>having</font> a 1-star review in the vain hope that we'll see the original (1978-82) <font color = green>expanded</font> <font color = green>version</font> of this trilogy on Blu-ray sooner rather than later.,INCONSISTENT,UNCLEAR,CONSISTENT
5,"<font color = green>POS (99.98%)</font> --> <font color = red>NEG (60.85%)</font> </br></br> <b>Original:</b> I have a four year old Saint Berdoodle (Saint Bernard/Poodle mix) named <font color = green>Sailor</font>, and he was ALWAYS getting black ""gunk"" buildup from his eyes. He's basically a white dog and the gunk was terrible; he hated getting his face cleaned and it seemed like I could never get it clean enough. While browsing through the pet shop, I came across a product called Angel Eyes, which promised noticeably whiter eyes within just a few days. <font color = green>Sailor</font> is VERY <font color = green>happy</font> that I don't have to wash his face any longer; just the quick swab of the tiny trace lines and that's it! I put just a teaspoon of beef-flavored <font color = green>Angel</font> Eyes in with his food; he knows it's coming and he dances around the room.Thank you, Angel Eyes!<font color = green>Kelley</font> & Sailor </br></br> <b>SynBA:</b> I have a four year old Saint Berdoodle (Saint Bernard/Poodle mix) named <font color = red>Seafaring</font>, and he was ALWAYS getting black ""gunk"" buildup from his eyes. He's basically a white dog and the gunk was terrible; he hated getting his face cleaned and it seemed like I could never get it clean enough. While browsing through the pet shop, I came across a product called Angel Eyes, which promised noticeably whiter eyes within just a few days. <font color = red>Mariner</font> is VERY <font color = red>lucky</font> that I don't have to wash his face any longer; just the quick swab of the tiny trace lines and that's it! I put just a teaspoon of beef-flavored <font color = red>Ange</font> Eyes in with his food; he knows it's coming and he dances around the room.Thank you, Angel Eyes!<font color = red>Killy</font> & Sailor </br></br> <b>TextFooler:</b> I have a four year old Saint Berdoodle (Saint Bernard/Poodle mix) named <font color = red>Seafaring</font>, and he was <font color = red>NECESSARILY</font> <font color = red>recieve</font> <font color = red>niro</font> ""gunk"" buildup from his eyes. He's basically a white <font color = red>whelp</font> and the gunk was terrible; he hated getting his face cleaned and it seemed like I could never get it clean enough. While browsing through the pet shop, I came across a product called Angel Eyes, which promised noticeably whiter eyes within just a few days. Sailor is VERY <font color = red>lucky</font> that I don't have to wash his face any longer; just the quick swab of the tiny trace lines and that's it! I put just a <font color = red>tablespoons</font> of beef-flavored <font color = red>Dear</font> Eyes in with his food; he knows it's coming and he dances around the room.Thank you, Angel Eyes!Kelley & Sailor </br></br> <b>BAE:</b> I have a four year old Saint <font color = red>hood</font> (Saint Bernard/Poodle mix) named Sailor, and he was <font color = red>left</font> <font color = red>receiving</font> black ""gunk"" buildup from his eyes. He's basically a white <font color = red>puppy</font> and the gunk was terrible; he hated getting his face cleaned and it seemed like I could never get it clean enough. While browsing through the pet shop, I came across a product called Angel Eyes, which promised noticeably whiter eyes within just a few days. Sailor is VERY <font color = red>excited</font> that I don't have to wash his face any longer; just the quick swab of the tiny trace lines and that's it! I put just a teaspoon of beef-flavored Angel Eyes in with his food; he <font color = red>know</font> it's coming and he dances around the room.Thank you, Angel Eyes!Kelley & Sailor",CONSISTENT,UNCLEAR,CONSISTENT
6,"<font color = green>POS (99.98%)</font> --> <font color = red>NEG (95.89%)</font> </br></br> <b>Original:</b> My daughter got this book when she was about 4 years old. We had to explain a few of the jokes, but she was on a roll with it right away. This is a book that <font color = green>kids</font> will love, even as their parents are going crazy listening to the little bug laugh again and again and again... </br></br> <b>SynBA:</b> My daughter got this book when she was about 4 years old. We had to explain a few of the jokes, but she was on a roll with it right away. This is a book that <font color = red>childish</font> will love, even as their parents are going crazy listening to the little bug laugh again and again and again... </br></br> <b>TextFooler:</b> My daughter got this book when she was about 4 years old. We had to explain a few of the jokes, but she was on a roll with it right away. This is a book that kids will <font color = red>iike</font>, even as their parents are going crazy listening to the little bug laugh again and again and again... </br></br> <b>BAE:</b> My daughter got this book when she was about 4 <font color = red>ages</font> old. We had to explain a few of the jokes, but she was on a roll with it right away. This is a book that kids will <font color = red>have</font>, <font color = red>so</font> as their parents are going crazy listening to the little bug laugh again and again and again...",CONSISTENT,CONSISTENT,CONSISTENT
7,"<font color = red>NEG (99.59%)</font> --> <font color = green>POS (89.36%)</font> </br></br> <b>Original:</b> Mr. Spong's treatment of Biblical data is fast and loose. He is quite content to accept the ""scientific evidence"" of evolution without a mention of its contraversial nature. He has ignored all responsible biblical scholarship for a cracker-jack version liberal scam. In essence Mr. Spong has taken the best of what he likes in the culture and the Bible and called it a belief system. The Bible is not a salad bar. He has created a new religion of his own making based on telling everyone that they are okay no matter how they live. It <font color = red>appeals</font> to people because he <font color = red>tells</font> them what they want to hear. I would say that Mr. Spong's version of Christianity must indeed <font color = red>change</font> or die. </br></br> <b>SynBA:</b> Mr. Spong's treatment of Biblical data is fast and loose. He is quite content to accept the ""scientific evidence"" of evolution without a mention of its contraversial nature. He has ignored all responsible biblical scholarship for a cracker-jack version liberal scam. In essence Mr. Spong has taken the best of what he likes in the culture and the Bible and called it a belief system. The Bible is not a salad bar. He has created a new religion of his own making based on telling everyone that they are okay no matter how they live. It <font color = green>invitation</font> to people because he <font color = green>teaches</font> them what they want to hear. I would say that Mr. Spong's version of Christianity must indeed <font color = green>shift</font> or die. </br></br> <b>TextFooler:</b> Mr. Spong's treatment of Biblical data is fast and loose. He is quite content to accept the ""scientific evidence"" of evolution without a mention of its contraversial nature. He has ignored all responsible biblical scholarship for a cracker-jack version liberal <font color = green>phoney</font>. In essence Mr. Spong has taken the best of what he likes in the culture and the Bible and called it a belief system. The Bible is not a salad bar. He has created a new religion of his own making based on telling everyone that they are okay no matter how they live. It appeals to people because he tells them what they want to hear. I would say that Mr. Spong's version of Christianity must indeed <font color = green>transformed</font> or die. </br></br> <b>BAE:</b> Mr. Spong's treatment of Biblical data is fast and loose. He is quite content to accept the ""scientific evidence"" of evolution without a mention of its <font color = green>actual</font> nature. He has ignored all responsible biblical scholarship for a cracker-jack version liberal scam. In essence Mr. Spong has taken the best of what he likes in the culture and the Bible and called it a belief system. The Bible is not a salad bar. He has created a new religion of his own making based on telling everyone that they are okay no matter how they live. It appeals to people because he tells them what they want to hear. I would say that Mr. Spong's version of Christianity must indeed change or die.",CONSISTENT,CONSISTENT,INCONSISTENT
8,"<font color = green>POS (96.47%)</font> --> <font color = red>NEG (92.72%)</font> </br></br> <b>Original:</b> ***** THE BIG HEATHere's another film I use to watch when I despair of cinema's future. Gloria Grahame's performance is unique as well as Lee Marvin's. Masterpiece.** 5 AGAINST THE HOUSEWeak crime movie with an interesting Brian Keith performance. That's all.***** THE LINEUPAn extremely brisk beginning, a pair of villains that will haunt you for days, Richard Jaeckel as the alcoholic wheelman, social etiquette taught by a gay Pygmalion to a psychopathic hit man. 86 minutes of sheer pleasure. Masterpiece.***** MURDER BY CONTRACTI <font color = green>understand</font> now why Martin Scorsese admired so much Irving Lerner. With a simple guitar melody playing while Vince Edwards is dressing up, Irving Lerner emerges as a one of a kind director. The rest of Murder by Contract is in accordance with this mythical beginning. Masterpiece.*** THE SNIPERProgressive Stanley Kramer production. The murders, in my opinion, are very violent considering it's a 1952 movie. <font color = green>Recommended</font>. </br></br> <b>SynBA:</b> ***** THE BIG HEATHere's another film I use to watch when I despair of cinema's future. Gloria Grahame's performance is unique as well as Lee Marvin's. Masterpiece.** 5 AGAINST THE HOUSEWeak crime movie with an interesting Brian Keith performance. That's all.***** THE LINEUPAn extremely brisk beginning, a pair of villains that will haunt you for days, Richard Jaeckel as the alcoholic wheelman, social etiquette taught by a gay Pygmalion to a psychopathic hit man. 86 minutes of sheer pleasure. Masterpiece.***** MURDER BY CONTRACTI <font color = red>realize</font> now why Martin Scorsese admired so much Irving Lerner. With a simple guitar melody playing while Vince Edwards is dressing up, Irving Lerner emerges as a one of a kind director. The rest of Murder by Contract is in accordance with this mythical beginning. Masterpiece.*** THE SNIPERProgressive Stanley Kramer production. The murders, in my opinion, are very violent considering it's a 1952 movie. <font color = red>Suggests</font>. </br></br> <b>TextFooler:</b> ***** THE BIG HEATHere's another film I use to watch when I despair of cinema's future. Gloria Grahame's performance is unique as well as Lee Marvin's. Masterpiece.** 5 AGAINST THE HOUSEWeak crime movie with an interesting Brian Keith performance. That's all.***** THE LINEUPAn extremely brisk beginning, a pair of villains that will haunt you for days, Richard Jaeckel as the alcoholic wheelman, social etiquette taught by a gay Pygmalion to a psychopathic hit man. 86 minutes of sheer pleasure. Masterpiece.***** MURDER BY CONTRACTI understand now why Martin Scorsese admired so much Irving Lerner. With a simple guitar melody playing while Vince Edwards is dressing up, Irving Lerner emerges as a one of a kind director. The rest of Murder by Contract is in accordance with this mythical beginning. Masterpiece.*** THE SNIPERProgressive Stanley Kramer production. The murders, in my opinion, are very violent considering it's a 1952 movie. <font color = red>Advised</font>. </br></br> <b>BAE:</b> ***** THE BIG HEATHere's another film I use to watch when I despair of cinema's future. Gloria Grahame's performance is unique as well as Lee Marvin's. Masterpiece.** 5 AGAINST THE HOUSEWeak crime movie with an interesting Brian Keith performance. That's all.***** THE LINEUPAn extremely brisk beginning, a pair of villains that will haunt you for days, Richard Jaeckel as the alcoholic wheelman, social etiquette taught by a gay Pygmalion to a psychopathic hit man. 86 minutes of sheer pleasure. Masterpiece.***** MURDER BY CONTRACTI understand now why Martin Scorsese admired so much Irving Lerner. With a simple guitar melody playing while Vince Edwards is dressing up, Irving Lerner emerges as a one of a kind director. The rest of Murder by Contract is in accordance with this mythical beginning. Masterpiece.*** THE <font color = red>standard</font> Stanley Kramer production. The murders, in my opinion, are very violent considering it's a 1952 movie. Recommended.",CONSISTENT,CONSISTENT,CONSISTENT
9,<font color = green>POS (99.94%)</font> --> <font color = red>NEG (76.67%)</font> </br></br> <b>Original:</b> I needed an inexpensive watch to wear when I was working outside in the yard or doing other chores. However I also wanted it to not look inexpensive. This watch is just what I was looking for. For <font color = green>less</font> than $20 I got a well made watch that also looks like it cost a lot more. </br></br> <b>SynBA:</b> I needed an inexpensive watch to wear when I was working outside in the yard or doing other chores. However I also wanted it to not look inexpensive. This watch is just what I was looking for. For <font color = red>weakest</font> than $20 I got a well made watch that also looks like it cost a lot more. </br></br> <b>TextFooler:</b> I needed an inexpensive watch to wear when I was working outside in the yard or doing other chores. However I also wanted it to not look inexpensive. <font color = red>That</font> watch is just what I was looking for. For less than $20 I got a <font color = red>even</font> made watch that also looks like it cost a lot more. </br></br> <b>BAE:</b> I needed an inexpensive watch to wear when I was working outside in the yard or doing other chores. However I also wanted it to not look inexpensive. <font color = red>those</font> watch is just what I was looking for. For less than $20 I got a <font color = red>poorly</font> made watch that also looks like it cost a lot more.,CONSISTENT,CONSISTENT,INCONSISTENT
