"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"I bought this coffee maker last weekend to replace our old Mr. Coffee, thinking that the carafe would be nice to keep the coffee hot longer. Boy was I <font color = red>wrong</font>. <font color = red>First</font> off, the coffee doesn't even start off hot, so keeping it that way is a joke. You have to actually buy this thing and then read the instructions to find our their suggestion of <font color = red>pre-heating</font> the pot. This doesn't work so well for someone who works. <font color = red>We</font> get <font color = red>programable</font> pots so the coffee will be made when we get up, right? Mine is going right back to the store this weekend. Don't <font color = red>waste</font> your money, this coffee pot is <font color = red>terrible</font>!","I bought this coffee maker last weekend to replace our old Mr. Coffee, thinking that the carafe would be nice to keep the coffee hot longer. Boy was I <font color = green>right</font>. <font color = green>far</font> off, the coffee doesn't even start off hot, so keeping it that way is a joke. You have to actually buy this thing and then read the instructions to find our their suggestion of <font color = green>having</font> the pot. This doesn't work so well for someone who works. <font color = green>us</font> get <font color = green>separate</font> pots so the coffee will be made when we get up, right? Mine is going right back to the store this weekend. Don't <font color = green>wasting</font> your money, this coffee pot is <font color = green>fantastic</font>!",0.0001494884490966797,0.9055707454681396,0,1,0,141,"Successful"
"Start at the beginning, answer each chapter as you go along, go back and do it again - you will pass the exam. It's <font color = green>great</font>!","Start at the beginning, answer each chapter as you go along, go back and do it again - you will pass the exam. It's <font color = red>unbelievable</font>!",0.0001761317253112793,0.9742618203163147,1,0,1,15,"Successful"
"tail fall of everytimeher shirt <font color = red>broke</font> my daughter uses whats left of her in the tub <font color = red>SAVE</font> YOUR MONEY","tail fall of everytimeher shirt <font color = green>get</font> my daughter uses whats left of her in the tub <font color = green>have</font> YOUR MONEY",0.0001499652862548828,0.997252345085144,0,1,0,44,"Successful"
"I was looking forward to reading the newest Clancy novel. Most of the time I can't put it down but this one I could. There is <font color = red>hardly</font> any action in this book. Most of his books have been action packed. We also get to read about Clancy's views on abortion. This book is not <font color = red>worth</font> the money. Wait till you can get it at an used book store.","I was looking forward to reading the newest Clancy novel. Most of the time I can't put it down but this one I could. There is <font color = green>absolutely</font> any action in this book. Most of his books have been action packed. We also get to read about Clancy's views on abortion. This book is not <font color = green>much</font> the money. Wait till you can get it at an used book store.",0.00014984607696533203,0.831528902053833,0,1,0,56,"Successful"
"A FRIEND BROUGHT THIS OVER THE OTHER DAY AND WE PUT IT <font color = green>ON</font> I WASIMPRESSED FROM THE FIRST TRACK UNTO THE LAST.YOU CANT EVEN TELLANDY PARKER IS GONE ANSLEY DUNBAR FITS IN SO WELL.I AM HOWEVERDISAPPOINTED THAT PAUL RAYMOND IS NO LONGER WITH THEM. AN <font color = green>OLDFAVORITE</font> OF MINE EVEN BACK IN HIS SAVOY BROWN DAYS. BUT <font color = green>THIS</font> CDROCKS,AND <font color = green>IS</font> PRODUCED\ENGINEERED WELL ALSO. IM GETTING A COPYMYSELF SO.....I RECOMMEND IT!","A FRIEND BROUGHT THIS OVER THE OTHER DAY AND WE PUT IT <font color = red>s</font> I WASIMPRESSED FROM THE FIRST TRACK UNTO THE LAST.YOU CANT EVEN TELLANDY PARKER IS GONE ANSLEY DUNBAR FITS IN SO WELL.I AM HOWEVERDISAPPOINTED THAT PAUL RAYMOND IS NO LONGER WITH THEM. AN <font color = red>example</font> OF MINE EVEN BACK IN HIS SAVOY BROWN DAYS. BUT <font color = red>da</font> CDROCKS,AND <font color = red>is</font> PRODUCED\ENGINEERED WELL ALSO. IM GETTING A COPYMYSELF SO.....I RECOMMEND IT!",0.004363358020782471,0.5380647778511047,1,0,1,92,"Successful"
"""Compatible"" may be a stretch in Mac user terms. I certainly am NOT used to having to power off the AirPort WAP, unplug this antenna, screw a ""key"" into the end of the adapter cable on the AirPort side, power on the AirPort, wait 20 seconds for the AirPort WAP to reboot, then remove the key and re-connect the Hawking antenna -- EVERY TIME you reboot the AirPort or a power glitch shuts it off. My clients would kick me out of their homes if I installed it! Other than that, it's the highest gain (+6dBi) omni-directional external antenna I've found for the AirPort Extreme and it works great -- if you don't mind continually running AirPort Admin to see that its being used...","""Compatible"" may be a stretch in Mac user terms. I certainly am NOT used to having to power off the AirPort WAP, unplug this antenna, screw a ""key"" into the end of the adapter cable on the AirPort side, power on the AirPort, wait 20 seconds for the AirPort WAP to reboot, then remove the key and re-connect the Hawking antenna -- EVERY TIME you reboot the AirPort or a power glitch shuts it off. My clients would kick me out of their homes if I installed it! Other than that, it's the highest gain (+6dBi) omni-directional external antenna I've found for the AirPort Extreme and it works great -- if you don't mind continually running AirPort Admin to see that its being used...",0.7172316312789917,0.7172316312789917,1,1,0,1,"Skipped"
"This book was a <font color = green>wonderfully</font> light and entertaining read. Kit is a young <font color = green>girl</font> who is forced to leave her island <font color = green>home</font> of Barbados in the late 1600's and <font color = green>live</font> with a strict Puritan community in Connecticut. <font color = green>She</font> has many <font color = green>new</font> <font color = green>relationships</font> some good and some bad in this land where life <font color = green>seems</font> so harsh. One of her special relationships is with an elderly Quaker woman, the Witch of Blackbird Pond. <font color = green>The</font> author is <font color = green>detailed</font> in showing early New England life. The characters are a charming and I will always remember Hannah Tupper. A <font color = green>fabulous</font> book for adults, young and old.","This book was a <font color = red>slightly</font> light and entertaining read. Kit is a young <font color = red>female</font> who is forced to leave her island <font color = red>nation</font> of Barbados in the late 1600's and <font color = red>unite</font> with a strict Puritan community in Connecticut. <font color = red>her</font> has many <font color = red>different</font> <font color = red>relations</font> some good and some bad in this land where life <font color = red>remains</font> so harsh. One of her special relationships is with an elderly Quaker woman, the Witch of Blackbird Pond. <font color = red>no</font> author is <font color = red>experienced</font> in showing early New England life. The characters are a charming and I will always remember Hannah Tupper. A <font color = red>typical</font> book for adults, young and old.",0.0001461505889892578,0.5091512203216553,1,0,1,218,"Successful"
"Form over substance! Dialogue is monotonous and <font color = red>sleep-inducing</font>. Plot is not <font color = red>terribly</font> intriguing. The only cool aspect is the ""cartoonization"" of the actors. Overall, <font color = red>go</font> watch something else.","Form over substance! Dialogue is monotonous and <font color = red>archaic</font>. Plot is not <font color = red>remotely</font> intriguing. The only cool aspect is the ""cartoonization"" of the actors. Overall, <font color = red>lets</font> watch something else.",0.0001499652862548828,0.0001513957977294922,0,0,0,108,"Failed"
"<font color = green>This</font> book makes learning medical terminology very <font color = green>easy</font>. At first <font color = green>I</font> was skeptical of the ""programmed learning"" approach - it seemed much too repetitive and grade school-ish. <font color = green>However</font>, I found that as I finished each chapter in the workbook, I <font color = green>retained</font> the majority of the information. I definitely recommend this book for <font color = green>anyone</font> <font color = green>wanting</font> to learn the basics of medical terminology without <font color = green>putting</font> forth a great deal of effort. I <font color = green>found</font> the workbook to be fun, and the CD, which <font color = green>includes</font> sample quizzes and learning activities, was <font color = green>extremely</font> <font color = green>helpful</font>.","<font color = green>that</font> book makes learning medical terminology very <font color = green>hard</font>. At first <font color = green>my</font> was skeptical of the ""programmed learning"" approach - it seemed much too repetitive and grade school-ish. <font color = green>unfortunately</font>, I found that as I finished each chapter in the workbook, I <font color = green>studied</font> the majority of the information. I definitely recommend this book for <font color = green>persons</font> <font color = green>intended</font> to learn the basics of medical terminology without <font color = green>bring</font> forth a great deal of effort. I <font color = green>wanted</font> the workbook to be fun, and the CD, which <font color = green>would</font> sample quizzes and learning activities, was <font color = green>very</font> <font color = green>nice</font>.",0.00014531612396240234,0.003143787384033203,1,1,1,280,"Failed"
"I absolutely love ""Why Do They Rock So Hard?"" and ""Turn Your Radio Off"".But this CD, which is a re-release of their first CD is no where <font color = red>near</font> as good as the other two. If you don't yet own an RBF CD, I would recommend buying either of the other two.This CD has a very amateur sound quality to it. Which makes sense since this was their first CD, and they didn't have much money to produce it.For the most part, the songs on this CD can be found on either of the other CDs (some with different titles). The songs sound better on the other CDs, and the other songs on the CD are better than these.I pretty much would call this CD a ""Worst of"" Reel Big Fish. There are a few really good songs on the CD, but if you already have an RBF CD, you've probably already heard them, and with <font color = red>better</font> quality.","I absolutely love ""Why Do They Rock So Hard?"" and ""Turn Your Radio Off"".But this CD, which is a re-release of their first CD is no where <font color = green>completely</font> as good as the other two. If you don't yet own an RBF CD, I would recommend buying either of the other two.This CD has a very amateur sound quality to it. Which makes sense since this was their first CD, and they didn't have much money to produce it.For the most part, the songs on this CD can be found on either of the other CDs (some with different titles). The songs sound better on the other CDs, and the other songs on the CD are better than these.I pretty much would call this CD a ""Worst of"" Reel Big Fish. There are a few really good songs on the CD, but if you already have an RBF CD, you've probably already heard them, and with <font color = green>high</font> quality.",0.002382814884185791,0.5019575953483582,0,1,0,125,"Successful"
