"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"I bought this coffee maker last weekend to replace our old Mr. Coffee, <font color = red>thinking</font> that the carafe would be nice to keep the coffee hot longer. Boy was I wrong. First off, the coffee doesn't even start off hot, so keeping it that way is a joke. You have to actually buy this thing and then read the instructions to find our their suggestion of pre-heating the pot. This doesn't work so well for someone who works. We get programable pots so the coffee will be made when we get up, right? <font color = red>Mine</font> is going right back to the store this weekend. Don't <font color = red>waste</font> your <font color = red>money</font>, this coffee <font color = red>pot</font> is <font color = red>terrible</font>!","I bought this coffee maker last weekend to replace our old Mr. Coffee, <font color = green>believing</font> that the carafe would be nice to keep the coffee hot longer. Boy was I wrong. First off, the coffee doesn't even start off hot, so keeping it that way is a joke. You have to actually buy this thing and then read the instructions to find our their suggestion of pre-heating the pot. This doesn't work so well for someone who works. We get programable pots so the coffee will be made when we get up, right? <font color = green>Claymore</font> is going right back to the store this weekend. Don't <font color = green>detritus</font> your <font color = green>monies</font>, this coffee <font color = green>herb</font> is <font color = green>fearsome</font>!",0.0001494884490966797,0.6898276805877686,0,1,0,135,"Successful"
"Start at the beginning, answer each <font color = green>chapter</font> as you go along, go back and do it again - you will <font color = green>pass</font> the <font color = green>exam</font>. It's <font color = green>great</font>!","Start at the beginning, answer each <font color = red>chaps</font> as you go along, go back and do it again - you will <font color = red>passing</font> the <font color = red>examining</font>. It's <font color = red>prodigious</font>!",0.0001761317253112793,0.9842666983604431,1,0,1,43,"Successful"
"<font color = red>tail</font> <font color = red>fall</font> of everytimeher shirt <font color = red>broke</font> my daughter uses whats left of her in the tub SAVE YOUR <font color = red>MONEY</font>","<font color = green>cue</font> <font color = green>plunges</font> of everytimeher shirt <font color = green>rota</font> my daughter uses whats left of her in the tub SAVE YOUR <font color = green>MONETARY</font>",0.0001499652862548828,0.8682822585105896,0,1,0,88,"Successful"
"I was looking forward to reading the <font color = red>newest</font> Clancy novel. Most of the time I can't put it down but this one I could. There is <font color = red>hardly</font> any action in this book. Most of his books have been action <font color = red>packed</font>. We also get to read about Clancy's views on abortion. This book is not <font color = red>worth</font> the money. <font color = red>Wait</font> till you can get it at an used book store.","I was looking forward to reading the <font color = green>novo</font> Clancy novel. Most of the time I can't put it down but this one I could. There is <font color = green>practically</font> any action in this book. Most of his books have been action <font color = green>wrapped</font>. We also get to read about Clancy's views on abortion. This book is not <font color = green>punishment</font> the money. <font color = green>Standby</font> till you can get it at an used book store.",0.00014984607696533203,0.9998484253883362,0,1,0,67,"Successful"
"A FRIEND BROUGHT THIS OVER THE OTHER DAY AND WE PUT IT ON I WASIMPRESSED FROM THE FIRST TRACK UNTO THE LAST.YOU CANT EVEN TELLANDY PARKER IS GONE ANSLEY DUNBAR FITS IN SO WELL.I AM HOWEVERDISAPPOINTED THAT PAUL RAYMOND IS NO LONGER WITH THEM. AN OLDFAVORITE OF MINE EVEN BACK IN HIS SAVOY BROWN DAYS. BUT THIS CDROCKS,AND IS PRODUCED\<font color = green>ENGINEERED</font> WELL ALSO. IM GETTING A COPYMYSELF SO.....I RECOMMEND IT!","A FRIEND BROUGHT THIS OVER THE OTHER DAY AND WE PUT IT ON I WASIMPRESSED FROM THE FIRST TRACK UNTO THE LAST.YOU CANT EVEN TELLANDY PARKER IS GONE ANSLEY DUNBAR FITS IN SO WELL.I AM HOWEVERDISAPPOINTED THAT PAUL RAYMOND IS NO LONGER WITH THEM. AN OLDFAVORITE OF MINE EVEN BACK IN HIS SAVOY BROWN DAYS. BUT THIS CDROCKS,AND IS PRODUCED\<font color = red>ARTIFICIAL</font> WELL ALSO. IM GETTING A COPYMYSELF SO.....I RECOMMEND IT!",0.004363358020782471,0.9400727152824402,1,0,1,17,"Successful"
"""Compatible"" may be a stretch in Mac user terms. I certainly am NOT used to having to power off the AirPort WAP, unplug this antenna, screw a ""key"" into the end of the adapter cable on the AirPort side, power on the AirPort, wait 20 seconds for the AirPort WAP to reboot, then remove the key and re-connect the Hawking antenna -- EVERY TIME you reboot the AirPort or a power glitch shuts it off. My clients would kick me out of their homes if I installed it! Other than that, it's the highest gain (+6dBi) omni-directional external antenna I've found for the AirPort Extreme and it works great -- if you don't mind continually running AirPort Admin to see that its being used...","""Compatible"" may be a stretch in Mac user terms. I certainly am NOT used to having to power off the AirPort WAP, unplug this antenna, screw a ""key"" into the end of the adapter cable on the AirPort side, power on the AirPort, wait 20 seconds for the AirPort WAP to reboot, then remove the key and re-connect the Hawking antenna -- EVERY TIME you reboot the AirPort or a power glitch shuts it off. My clients would kick me out of their homes if I installed it! Other than that, it's the highest gain (+6dBi) omni-directional external antenna I've found for the AirPort Extreme and it works great -- if you don't mind continually running AirPort Admin to see that its being used...",0.7172316312789917,0.7172316312789917,1,1,0,1,"Skipped"
"This <font color = green>book</font> was a wonderfully light and entertaining read. <font color = green>Kit</font> is a young girl who is forced to leave her island home of <font color = green>Barbados</font> in the late 1600's and live with a strict Puritan community in Connecticut. She has many new <font color = green>relationships</font> some good and some bad in this land where life <font color = green>seems</font> so <font color = green>harsh</font>. One of her special relationships is with an elderly Quaker woman, the Witch of Blackbird Pond. The author is detailed in showing early New England life. The characters are a charming and I will always <font color = green>remember</font> Hannah Tupper. A <font color = green>fabulous</font> book for adults, young and <font color = green>old</font>.","This <font color = red>manual</font> was a wonderfully light and entertaining read. <font color = red>Folder</font> is a young girl who is forced to leave her island home of <font color = red>Caribbean</font> in the late 1600's and live with a strict Puritan community in Connecticut. She has many new <font color = red>dealings</font> some good and some bad in this land where life <font color = red>emerges</font> so <font color = red>violent</font>. One of her special relationships is with an elderly Quaker woman, the Witch of Blackbird Pond. The author is detailed in showing early New England life. The characters are a charming and I will always <font color = red>reminder</font> Hannah Tupper. A <font color = red>wondrous</font> book for adults, young and <font color = red>past</font>.",0.0001461505889892578,0.9981719255447388,1,0,1,198,"Successful"
"<font color = red>Form</font> over substance! <font color = red>Dialogue</font> is monotonous and sleep-inducing. <font color = red>Plot</font> is not terribly intriguing. The only cool aspect is the ""cartoonization"" of the actors. Overall, go <font color = red>watch</font> <font color = red>something</font> <font color = red>else</font>.","<font color = red>Manner</font> over substance! <font color = red>Conversations</font> is monotonous and sleep-inducing. <font color = red>Parcel</font> is not terribly intriguing. The only cool aspect is the ""cartoonization"" of the actors. Overall, go <font color = red>supervision</font> <font color = red>nada</font> <font color = red>also</font>.",0.0001499652862548828,0.0001519918441772461,0,0,0,92,"Failed"
"This <font color = green>book</font> makes <font color = green>learning</font> <font color = green>medical</font> terminology very <font color = green>easy</font>. At first I was <font color = green>skeptical</font> of the ""programmed learning"" approach - it <font color = green>seemed</font> much too <font color = green>repetitive</font> and grade school-ish. <font color = green>However</font>, I found that as I finished each chapter in the workbook, I <font color = green>retained</font> the majority of the information. I definitely recommend this book for <font color = green>anyone</font> wanting to learn the basics of medical <font color = green>terminology</font> without putting forth a great deal of effort. I found the workbook to be fun, and the CD, which includes sample quizzes and learning activities, was <font color = green>extremely</font> <font color = green>helpful</font>.","This <font color = red>booklet</font> makes <font color = red>teaching</font> <font color = red>medic</font> terminology very <font color = red>mere</font>. At first I was <font color = red>sceptic</font> of the ""programmed learning"" approach - it <font color = red>emerged</font> much too <font color = red>rehearse</font> and grade school-ish. <font color = red>Moreover</font>, I found that as I finished each chapter in the workbook, I <font color = red>deducted</font> the majority of the information. I definitely recommend this book for <font color = red>whosoever</font> wanting to learn the basics of medical <font color = red>phrasing</font> without putting forth a great deal of effort. I found the workbook to be fun, and the CD, which includes sample quizzes and learning activities, was <font color = red>uncommonly</font> <font color = red>profitable</font>.",0.00014531612396240234,0.5522465705871582,1,0,1,225,"Successful"
"I absolutely love ""Why Do They Rock So Hard?"" and ""Turn Your Radio Off"".But this CD, which is a re-release of their first CD is no where near as good as the other two. If you don't yet own an RBF CD, I would recommend buying either of the other two.This CD has a very <font color = red>amateur</font> sound quality to it. Which makes sense since this was their first CD, and they didn't have much money to produce it.For the most part, the songs on this CD can be found on either of the other CDs (some with different titles). The songs sound better on the other CDs, and the other songs on the CD are better than these.I pretty much would call this CD a ""Worst of"" Reel Big Fish. There are a few really good songs on the CD, but if you already have an RBF CD, you've probably already heard them, and with better quality.","I absolutely love ""Why Do They Rock So Hard?"" and ""Turn Your Radio Off"".But this CD, which is a re-release of their first CD is no where near as good as the other two. If you don't yet own an RBF CD, I would recommend buying either of the other two.This CD has a very <font color = green>dilettante</font> sound quality to it. Which makes sense since this was their first CD, and they didn't have much money to produce it.For the most part, the songs on this CD can be found on either of the other CDs (some with different titles). The songs sound better on the other CDs, and the other songs on the CD are better than these.I pretty much would call this CD a ""Worst of"" Reel Big Fish. There are a few really good songs on the CD, but if you already have an RBF CD, you've probably already heard them, and with better quality.",0.002382814884185791,0.7454078197479248,0,1,0,17,"Successful"
