"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"I bought this coffee maker last weekend to replace our old Mr. Coffee, thinking that the carafe would be nice to keep the coffee hot longer. Boy was I wrong. <font color = red>First</font> off, the coffee doesn't even start off hot, so keeping it that way is a <font color = red>joke</font>. You have to actually buy this thing and then read the instructions to find our their suggestion of pre-heating the pot. This doesn't work so well for someone who works. We get programable pots so the coffee will be made when we get up, right? Mine is going right back to the store this weekend. Don't waste your <font color = red>money</font>, this coffee pot is <font color = red>terrible</font>!","I bought this coffee maker last weekend to replace our old Mr. Coffee, thinking that the carafe would be nice to keep the coffee hot longer. Boy was I wrong. <font color = green>Originally</font> off, the coffee doesn't even start off hot, so keeping it that way is a <font color = green>joking</font>. You have to actually buy this thing and then read the instructions to find our their suggestion of pre-heating the pot. This doesn't work so well for someone who works. We get programable pots so the coffee will be made when we get up, right? Mine is going right back to the store this weekend. Don't waste your <font color = green>currency</font>, this coffee pot is <font color = green>monstrous</font>!",0.0001494884490966797,0.5446840524673462,0,1,0,141,"Successful"
"Start at the beginning, answer each chapter as you go along, go back and do it again - you will pass the exam. It's <font color = green>great</font>!","Start at the beginning, answer each chapter as you go along, go back and do it again - you will pass the exam. It's <font color = red>prodigious</font>!",0.0001761317253112793,0.9160043001174927,1,0,1,32,"Successful"
"tail fall of everytimeher shirt <font color = red>broke</font> my daughter uses whats left of her in the <font color = red>tub</font> <font color = red>SAVE</font> YOUR MONEY","tail fall of everytimeher shirt <font color = green>caved</font> my daughter uses whats left of her in the <font color = green>bathwater</font> <font color = green>RESCUED</font> YOUR MONEY",0.0001499652862548828,0.9933972358703613,0,1,0,108,"Successful"
"I was looking forward to reading the newest Clancy novel. Most of the time I can't put it down but this one I could. There is <font color = red>hardly</font> any action in this book. Most of his books have been action packed. We also get to read about Clancy's views on abortion. This book is not <font color = red>worth</font> the money. Wait till you can get it at an used book store.","I was looking forward to reading the newest Clancy novel. Most of the time I can't put it down but this one I could. There is <font color = green>practically</font> any action in this book. Most of his books have been action packed. We also get to read about Clancy's views on abortion. This book is not <font color = green>chastisement</font> the money. Wait till you can get it at an used book store.",0.00014984607696533203,0.9998098611831665,0,1,0,78,"Successful"
"A FRIEND BROUGHT THIS OVER THE OTHER DAY AND WE PUT IT ON I WASIMPRESSED FROM THE FIRST TRACK UNTO THE LAST.YOU CANT EVEN TELLANDY PARKER IS GONE ANSLEY DUNBAR FITS IN SO WELL.I AM HOWEVERDISAPPOINTED THAT PAUL RAYMOND IS NO LONGER WITH THEM. AN OLDFAVORITE OF MINE EVEN BACK IN HIS SAVOY BROWN DAYS. BUT THIS CDROCKS,AND IS PRODUCED\ENGINEERED WELL ALSO. IM GETTING A COPYMYSELF SO.....I <font color = green>RECOMMEND</font> IT!","A FRIEND BROUGHT THIS OVER THE OTHER DAY AND WE PUT IT ON I WASIMPRESSED FROM THE FIRST TRACK UNTO THE LAST.YOU CANT EVEN TELLANDY PARKER IS GONE ANSLEY DUNBAR FITS IN SO WELL.I AM HOWEVERDISAPPOINTED THAT PAUL RAYMOND IS NO LONGER WITH THEM. AN OLDFAVORITE OF MINE EVEN BACK IN HIS SAVOY BROWN DAYS. BUT THIS CDROCKS,AND IS PRODUCED\ENGINEERED WELL ALSO. IM GETTING A COPYMYSELF SO.....I <font color = red>ADVISE</font> IT!",0.004363358020782471,0.9933834075927734,1,0,1,81,"Successful"
"""Compatible"" may be a stretch in Mac user terms. I certainly am NOT used to having to power off the AirPort WAP, unplug this antenna, screw a ""key"" into the end of the adapter cable on the AirPort side, power on the AirPort, wait 20 seconds for the AirPort WAP to reboot, then remove the key and re-connect the Hawking antenna -- EVERY TIME you reboot the AirPort or a power glitch shuts it off. My clients would kick me out of their homes if I installed it! Other than that, it's the highest gain (+6dBi) omni-directional external antenna I've found for the AirPort Extreme and it works great -- if you don't mind continually running AirPort Admin to see that its being used...","""Compatible"" may be a stretch in Mac user terms. I certainly am NOT used to having to power off the AirPort WAP, unplug this antenna, screw a ""key"" into the end of the adapter cable on the AirPort side, power on the AirPort, wait 20 seconds for the AirPort WAP to reboot, then remove the key and re-connect the Hawking antenna -- EVERY TIME you reboot the AirPort or a power glitch shuts it off. My clients would kick me out of their homes if I installed it! Other than that, it's the highest gain (+6dBi) omni-directional external antenna I've found for the AirPort Extreme and it works great -- if you don't mind continually running AirPort Admin to see that its being used...",0.7172316312789917,0.7172316312789917,1,1,0,1,"Skipped"
"This book was a <font color = green>wonderfully</font> light and entertaining read. Kit is a young girl who is forced to leave her island home of Barbados in the late 1600's and live with a strict Puritan community in Connecticut. She has many new relationships some good and some bad in this land where life <font color = green>seems</font> so harsh. One of her special relationships is with an elderly Quaker woman, the Witch of Blackbird Pond. The author is detailed in showing early New England life. The characters are a charming and I will always remember Hannah Tupper. A <font color = green>fabulous</font> book for adults, young and old.","This book was a <font color = red>appallingly</font> light and entertaining read. Kit is a young girl who is forced to leave her island home of Barbados in the late 1600's and live with a strict Puritan community in Connecticut. She has many new relationships some good and some bad in this land where life <font color = red>emerges</font> so harsh. One of her special relationships is with an elderly Quaker woman, the Witch of Blackbird Pond. The author is detailed in showing early New England life. The characters are a charming and I will always remember Hannah Tupper. A <font color = red>wondrous</font> book for adults, young and old.",0.0001461505889892578,0.9733744263648987,1,0,1,166,"Successful"
"<font color = red>Form</font> over <font color = red>substance</font>! <font color = red>Dialogue</font> is <font color = red>monotonous</font> and sleep-inducing. Plot is not <font color = red>terribly</font> intriguing. The only <font color = red>cool</font> <font color = red>aspect</font> is the ""cartoonization"" of the <font color = red>actors</font>. <font color = red>Overall</font>, <font color = red>go</font> <font color = red>watch</font> something else.","<font color = red>Foreman</font> over <font color = red>merits</font>! <font color = red>Discuss</font> is <font color = red>forgettable</font> and sleep-inducing. Plot is not <font color = red>exceptionally</font> intriguing. The only <font color = red>coldest</font> <font color = red>regard</font> is the ""cartoonization"" of the <font color = red>actor</font>. <font color = red>Total</font>, <font color = red>expend</font> <font color = red>overseeing</font> something else.",0.0001499652862548828,0.00016486644744873047,0,0,0,322,"Failed"
"This book makes learning medical terminology very easy. At first I was <font color = green>skeptical</font> of the ""programmed learning"" approach - it seemed much too repetitive and grade school-ish. <font color = green>However</font>, I found that as I finished each chapter in the workbook, I <font color = green>retained</font> the majority of the information. I definitely <font color = green>recommend</font> this book for anyone wanting to learn the basics of medical terminology without putting forth a great deal of effort. I found the workbook to be fun, and the CD, which includes sample quizzes and learning activities, was extremely helpful.","This book makes learning medical terminology very easy. At first I was <font color = red>sceptic</font> of the ""programmed learning"" approach - it seemed much too repetitive and grade school-ish. <font color = red>Meanwhile</font>, I found that as I finished each chapter in the workbook, I <font color = red>argued</font> the majority of the information. I definitely <font color = red>advises</font> this book for anyone wanting to learn the basics of medical terminology without putting forth a great deal of effort. I found the workbook to be fun, and the CD, which includes sample quizzes and learning activities, was extremely helpful.",0.00014531612396240234,0.8871021270751953,1,0,1,146,"Successful"
"I absolutely love ""Why Do They Rock So Hard?"" and ""Turn Your Radio Off"".But this CD, which is a re-release of their first CD is no where near as good as the other two. If you don't yet own an RBF CD, I would recommend buying either of the other two.This CD has a very <font color = red>amateur</font> sound quality to it. Which makes sense since this was their first CD, and they didn't have much money to produce it.For the most part, the songs on this CD can be found on either of the other CDs (some with different titles). The songs sound better on the other CDs, and the other songs on the CD are better than these.I pretty much would call this CD a ""Worst of"" Reel Big Fish. There are a few really good songs on the CD, but if you already have an RBF CD, you've probably already heard them, and with better quality.","I absolutely love ""Why Do They Rock So Hard?"" and ""Turn Your Radio Off"".But this CD, which is a re-release of their first CD is no where near as good as the other two. If you don't yet own an RBF CD, I would recommend buying either of the other two.This CD has a very <font color = green>dilettante</font> sound quality to it. Which makes sense since this was their first CD, and they didn't have much money to produce it.For the most part, the songs on this CD can be found on either of the other CDs (some with different titles). The songs sound better on the other CDs, and the other songs on the CD are better than these.I pretty much would call this CD a ""Worst of"" Reel Big Fish. There are a few really good songs on the CD, but if you already have an RBF CD, you've probably already heard them, and with better quality.",0.002382814884185791,0.745408833026886,0,1,0,99,"Successful"
