"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Asked and was <font color = red>confirmed</font> for a female masseur and was given a <font color = red>male</font> masseur who I didn't want to offend by declining the massage. \n\nHe <font color = red>massaged</font> with a very soft grip and pressure which was very awkward because his <font color = red>hand</font> skin was very dry and hard.\n\nAbout the facilities: Outside light penetrating in the <font color = red>room</font>. Some showers had all he lotions necessary, some didn't <font color = red>even</font> have the bare minimum <font color = red>like</font> shampoo and conditioner. <font color = red>The</font> gym was very basic and while <font color = red>I</font> could use it while waiting for my <font color = red>friends</font> who were forgotten about,  it wasn't properly equipped for free-weight <font color = red>training</font>.\n\<font color = red>nThis</font> place sucks if you want to relax. <font color = red>I</font> had a coupon for a special deal but it <font color = red>still</font> wasn't worth it.","Asked and was <font color = red>made</font> for a female masseur and was given a <font color = red>real</font> masseur who I didn't want to offend by declining the massage. \n\nHe <font color = red>dealt</font> with a very soft grip and pressure which was very awkward because his <font color = red>body</font> skin was very dry and hard.\n\nAbout the facilities: Outside light penetrating in the <font color = red>air</font>. Some showers had all he lotions necessary, some didn't <font color = red>normally</font> have the bare minimum <font color = red>as</font> shampoo and conditioner. <font color = red>some</font> gym was very basic and while <font color = red>he</font> could use it while waiting for my <font color = red>buddies</font> who were forgotten about,  it wasn't properly equipped for free-weight <font color = red>weightlifting</font>.\n\<font color = red>nice</font> place sucks if you want to relax. <font color = red>me</font> had a coupon for a special deal but it <font color = red>usually</font> wasn't worth it.",0.00014972686767578125,0.014270186424255371,0,0,0,326,"Failed"
"Don't order from <font color = red>Domino's</font> Pizza in North Las Vegas. They charged my credit card, then messed up the order. They <font color = red>said</font> I <font color = red>would</font> not get a refund on my credit card for three business <font color = red>days</font>. Just a few seconds of their mistake and suddenly I am responsible for the charges for three business days. This is a management problem. I <font color = red>hope</font> someone in Domino's corporate manager reads this. <font color = red>This</font> is poor customer service. I will never again <font color = red>order</font> from any Domino's Pizza as a result of what <font color = red>happened</font> tonight as I wait for three days for my refund.","Don't order from <font color = red>said</font> Pizza in North Las Vegas. They charged my credit card, then messed up the order. They <font color = red>saw</font> I <font color = red>am</font> not get a refund on my credit card for three business <font color = red>day</font>. Just a few seconds of their mistake and suddenly I am responsible for the charges for three business days. This is a management problem. I <font color = red>assume</font> someone in Domino's corporate manager reads this. <font color = red>there</font> is poor customer service. I will never again <font color = red>benefit</font> from any Domino's Pizza as a result of what <font color = red>appears</font> tonight as I wait for three days for my refund.",0.00015175342559814453,0.0001531839370727539,0,0,0,350,"Failed"
"Considering that Gourmet magazine said it was the best Thai restaurant in North America, AND that Frommers highly recommended it, I expected a lot more. My boyfriend and I both had the wonton soup (excellent) and the chicken with cashew nuts. Personally, I've had much <font color = red>better</font> at other Thai restaurants. \n\nIt's a run-down little place, but obviously plenty of people know about it. Autographed pictures with celebrities adorn the walls. Service is okay, but nothing exceptional. It was often hard to track down our server.","Considering that Gourmet magazine said it was the best Thai restaurant in North America, AND that Frommers highly recommended it, I expected a lot more. My boyfriend and I both had the wonton soup (excellent) and the chicken with cashew nuts. Personally, I've had much <font color = green>less</font> at other Thai restaurants. \n\nIt's a run-down little place, but obviously plenty of people know about it. Autographed pictures with celebrities adorn the walls. Service is okay, but nothing exceptional. It was often hard to track down our server.",0.0018494725227355957,0.8274009227752686,0,1,0,61,"Successful"
"I wish I could have given this place a 5...I really do.  The food was excellent.  My friend had the chicken mole and I had the chicken enchiladas...delicious!  The service was great...until the <font color = green>storm</font> hit.  All of a sudden there was crazy wind and rain, and I guess their computers went down.  We waited for over 30 minutes in order to get our check.  Our poor server tried his best to keep us happy, but he was a bit frazzled himself.  After <font color = green>finding</font> out it was only his 3rd day on the job, I was much more impressed with how he handled things.  If it wasn't for that crazyness, and no manager addressing our table when it all happened, there would have been 5 stars.  Good food.  Job well done, Jason.  <font color = green>Thank</font> you for the birthday cake!","I wish I could have given this place a 5...I really do.  The food was excellent.  My friend had the chicken mole and I had the chicken enchiladas...delicious!  The service was great...until the <font color = red>storms</font> hit.  All of a sudden there was crazy wind and rain, and I guess their computers went down.  We waited for over 30 minutes in order to get our check.  Our poor server tried his best to keep us happy, but he was a bit frazzled himself.  After <font color = red>figure</font> out it was only his 3rd day on the job, I was much more impressed with how he handled things.  If it wasn't for that crazyness, and no manager addressing our table when it all happened, there would have been 5 stars.  Good food.  Job well done, Jason.  <font color = red>fuck</font> you for the birthday cake!",0.005429565906524658,0.5112201571464539,1,0,1,126,"Successful"
"The sandwich with eggs and bacon was <font color = green>amazing</font>! I think the wait was too long and next time I will order to go but I will <font color = green>definitely</font> stop by again!  They should put tables outside instead of having all of the seats for waiting outside!","The sandwich with eggs and bacon was <font color = red>packed</font>! I think the wait was too long and next time I will order to go but I will <font color = red>only</font> stop by again!  They should put tables outside instead of having all of the seats for waiting outside!",0.00014460086822509766,0.9930902719497681,1,0,1,59,"Successful"
"Machines are very <font color = red>old</font> - many out-of-order. Premises not very clean.  A tacky place.  <font color = red>Will</font> not go there again.","Machines are very <font color = red>outdated</font> - many out-of-order. Premises not very clean.  A tacky place.  <font color = red>says</font> not go there again.",0.00015223026275634766,0.0001537799835205078,0,0,0,38,"Failed"
"Meh. I've <font color = red>experienced</font> better.\n\nMuch better does exist out there... <font color = red>somewhere</font>... and cheaper too.  Unfortunately, they don't exist as <font color = red>close</font> by for when I need my version of comfort <font color = red>food</font>.\<font color = red>n</font>\nShort answer is yes, they'll do if you <font color = red>got</font> a hankering.  <font color = red>I</font> went for a low risk chicken chow <font color = red>mein</font>.  <font color = red>If</font> they can pass this simple test, then at least I can <font color = red>give</font> them another shot later on.  Decent ingredients and <font color = red>decent</font> serving size, but I'd say about 25% over-priced.  Tastey noodles; <font color = red>therefore</font> they'll receive a passing grade from me.  <font color = red>Stir</font> fried just right and without excessive oil.  <font color = red>When</font> I can't take it any more, I'll <font color = red>probably</font> be back.\n\nThe Asian staff was a bonus, but it looked to me that the menu had been Americanized some.  Sad what has to be comprised in order to survive.  I <font color = red>guess</font> my biggest qualm is that I've been spoiled by <font color = red>growing</font> up surrounded by good, <font color = red>cheap</font>, authentic Chinese <font color = red>food</font>.  So when an establishment can't <font color = red>meet</font> all three criteria, I just pine for <font color = red>days</font> of ol'.  <font color = red>Maybe</font> my standard isn't terribly fair, but since <font color = red>I</font> <font color = red>know</font> it to exist, the burden is on them.","Meh. I've <font color = red>had</font> better.\n\nMuch better does exist out there... <font color = red>now</font>... and cheaper too.  Unfortunately, they don't exist as <font color = red>just</font> by for when I need my version of comfort <font color = red>massage</font>.\<font color = red>u</font>\nShort answer is yes, they'll do if you <font color = red>put</font> a hankering.  <font color = red>me</font> went for a low risk chicken chow <font color = red>d</font>.  <font color = red>while</font> they can pass this simple test, then at least I can <font color = red>hand</font> them another shot later on.  Decent ingredients and <font color = red>acceptable</font> serving size, but I'd say about 25% over-priced.  Tastey noodles; <font color = red>however</font> they'll receive a passing grade from me.  <font color = red>everything</font> fried just right and without excessive oil.  <font color = red>why</font> I can't take it any more, I'll <font color = red>certainly</font> be back.\n\nThe Asian staff was a bonus, but it looked to me that the menu had been Americanized some.  Sad what has to be comprised in order to survive.  I <font color = red>think</font> my biggest qualm is that I've been spoiled by <font color = red>living</font> up surrounded by good, <font color = red>inexpensive</font>, authentic Chinese <font color = red>restaurant</font>.  So when an establishment can't <font color = red>handle</font> all three criteria, I just pine for <font color = red>hours</font> of ol'.  <font color = red>knowing</font> my standard isn't terribly fair, but since <font color = red>we</font> <font color = red>wish</font> it to exist, the burden is on them.",0.00014913082122802734,0.0017418265342712402,0,0,0,440,"Failed"
"If I could drop a zero-spot here, I <font color = red>would</font>.\n\nThis.place.is.awful.\nI had never been to one before now, and I absolutely will not <font color = red>go</font> back.\n\nFor those who enjoy three <font color = red>times</font> the amount of mayonnaise as meat in a sando, this is the <font color = red>place</font> for you. Assembly line sandwich at it's worst.","If I could drop a zero-spot here, I <font color = red>will</font>.\n\nThis.place.is.awful.\nI had never been to one before now, and I absolutely will not <font color = red>be</font> back.\n\nFor those who enjoy three <font color = red>fold</font> the amount of mayonnaise as meat in a sando, this is the <font color = red>table</font> for you. Assembly line sandwich at it's worst.",0.00015032291412353516,0.00015175342559814453,0,0,0,114,"Failed"
"Marquee in the Cosmopolitan will <font color = green>become</font> the next big club in Vegas. From the <font color = green>moment</font> <font color = green>I</font> <font color = green>walked</font> into the lobby to being in the night club. <font color = green>I</font> was in <font color = green>awe</font>.\n\nThis club is giant, you have <font color = green>take</font> an elevator up to the 6th floor and up there were 3 <font color = green>levels</font> to the club. The first floor you <font color = green>get</font> off of is the main dance floor where the dj is. <font color = green>Lots</font> of tables and a <font color = green>pretty</font> big dance floor. <font color = green>A</font> long bar and the nicest bathroom ever with <font color = green>lots</font> of sitting room but they don't <font color = green>let</font> you sit for very long. They make you leave after a while.\<font color = green>n</font>\nIf you go downstairs, it's called the Boombox. A <font color = green>smaller</font> dance area with another bar playing different music than the other floor. If you go up one <font color = green>level</font> from the main floor, you're at the library. Definitely just a place for you to <font color = green>chill</font> and rest up, again playing different music from the other floors and has its own <font color = green>bars</font> and some pool tables. <font color = green>From</font> that floor, there's a balcony that you can go on that is above the main dance floor and you could see <font color = green>everything</font>. There's also an outside part to club by the pool? with an <font color = green>outdoor</font> bar and cabana seating. We didn't stay out there very long because it was freezing but I bet it's really nice during the summer.\n\nThe only <font color = green>reason</font> I'm giving it 4 stars is that there's not that many places to sit on the main floor. And when it gets crowded, the walk ways are almost impossible to go through without squeezing past one another.\n\nOther than those, I'll definitely be going back to this place when I get the chance especially to see Kaskade since he's made his home here for the next year! He'll be there once every month!","Marquee in the Cosmopolitan will <font color = red>resemble</font> the next big club in Vegas. From the <font color = red>fact</font> <font color = red>me</font> <font color = red>step</font> into the lobby to being in the night club. <font color = red>my</font> was in <font color = red>luck</font>.\n\nThis club is giant, you have <font color = red>pushed</font> an elevator up to the 6th floor and up there were 3 <font color = red>parts</font> to the club. The first floor you <font color = red>start</font> off of is the main dance floor where the dj is. <font color = red>boxes</font> of tables and a <font color = red>seriously</font> big dance floor. <font color = red>super</font> long bar and the nicest bathroom ever with <font color = red>loads</font> of sitting room but they don't <font color = red>provide</font> you sit for very long. They make you leave after a while.\<font color = red>um</font>\nIf you go downstairs, it's called the Boombox. A <font color = red>hot</font> dance area with another bar playing different music than the other floor. If you go up one <font color = red>step</font> from the main floor, you're at the library. Definitely just a place for you to <font color = red>be</font> and rest up, again playing different music from the other floors and has its own <font color = red>bar</font> and some pool tables. <font color = red>except</font> that floor, there's a balcony that you can go on that is above the main dance floor and you could see <font color = red>anything</font>. There's also an outside part to club by the pool? with an <font color = red>exterior</font> bar and cabana seating. We didn't stay out there very long because it was freezing but I bet it's really nice during the summer.\n\nThe only <font color = red>thinking</font> I'm giving it 4 stars is that there's not that many places to sit on the main floor. And when it gets crowded, the walk ways are almost impossible to go through without squeezing past one another.\n\nOther than those, I'll definitely be going back to this place when I get the chance especially to see Kaskade since he's made his home here for the next year! He'll be there once every month!",0.00014579296112060547,0.582088828086853,1,0,1,571,"Successful"
"Just waited <font color = red>20</font> <font color = red>minutes</font> for a muffin and ice water. <font color = red>Paid</font> $3 plus a $1 tip and never <font color = red>got</font> served. When I finally got up to <font color = red>leave</font>, I told the cashier I was leaving and to cancel my order. She said, \""""<font color = red>Okay</font>...\"""" and didn't make any attempt to <font color = red>give</font> me a refund or apologize. Definitely won't be <font color = red>going</font> back!","Just waited <font color = red>two</font> <font color = red>hour</font> for a muffin and ice water. <font color = red>bought</font> $3 plus a $1 tip and never <font color = red>anything</font> served. When I finally got up to <font color = red>go</font>, I told the cashier I was leaving and to cancel my order. She said, \""""<font color = red>wow</font>...\"""" and didn't make any attempt to <font color = red>giving</font> me a refund or apologize. Definitely won't be <font color = red>came</font> back!",0.00015044212341308594,0.00015282630920410156,0,0,0,176,"Failed"
