"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Asked and was <font color = red>confirmed</font> for a female masseur and was given a male masseur who I didn't want to offend by <font color = red>declining</font> the massage. \n\nHe massaged with a very soft <font color = red>grip</font> and pressure which was very awkward because his hand skin was very <font color = red>dry</font> and hard.\n\nAbout the facilities: <font color = red>Outside</font> <font color = red>light</font> penetrating in the room. Some <font color = red>showers</font> had all he lotions <font color = red>necessary</font>, some didn't even have the bare minimum like shampoo and conditioner. The gym was very <font color = red>basic</font> and while I could use it while waiting for my friends who were <font color = red>forgotten</font> about,  it wasn't properly equipped for free-weight training.\n\nThis place <font color = red>sucks</font> if you want to <font color = red>relax</font>. I had a coupon for a <font color = red>special</font> <font color = red>deal</font> but it <font color = red>still</font> wasn't worth it.","Asked and was <font color = green>emphasizing</font> for a female masseur and was given a male masseur who I didn't want to offend by <font color = green>tumbling</font> the massage. \n\nHe massaged with a very soft <font color = green>apocalypse</font> and pressure which was very awkward because his hand skin was very <font color = green>cured</font> and hard.\n\nAbout the facilities: <font color = green>Abroad</font> <font color = green>luz</font> penetrating in the room. Some <font color = green>flurries</font> had all he lotions <font color = green>imperative</font>, some didn't even have the bare minimum like shampoo and conditioner. The gym was very <font color = green>elemental</font> and while I could use it while waiting for my friends who were <font color = green>forgot</font> about,  it wasn't properly equipped for free-weight training.\n\nThis place <font color = green>jitters</font> if you want to <font color = green>relaxation</font>. I had a coupon for a <font color = green>exceptional</font> <font color = green>handle</font> but it <font color = green>once</font> wasn't worth it.",0.00014972686767578125,0.5494022369384766,0,1,0,253,"Successful"
"Don't order from Domino's Pizza in North Las Vegas. They charged my credit <font color = red>card</font>, then messed up the <font color = red>order</font>. They <font color = red>said</font> I <font color = red>would</font> not <font color = red>get</font> a refund on my <font color = red>credit</font> card for three business days. Just a few seconds of their <font color = red>mistake</font> and suddenly I am responsible for the charges for three business days. This is a management <font color = red>problem</font>. I <font color = red>hope</font> <font color = red>someone</font> in Domino's corporate manager <font color = red>reads</font> this. This is poor customer <font color = red>service</font>. I will never again order from any Domino's <font color = red>Pizza</font> as a <font color = red>result</font> of what <font color = red>happened</font> tonight as I wait for three days for my refund.","Don't order from Domino's Pizza in North Las Vegas. They charged my credit <font color = red>chart</font>, then messed up the <font color = red>ordinance</font>. They <font color = red>mention</font> I <font color = red>did</font> not <font color = red>receives</font> a refund on my <font color = red>credits</font> card for three business days. Just a few seconds of their <font color = red>misunderstanding</font> and suddenly I am responsible for the charges for three business days. This is a management <font color = red>challenge</font>. I <font color = red>wait</font> <font color = red>nobody</font> in Domino's corporate manager <font color = red>reading</font> this. This is poor customer <font color = red>serve</font>. I will never again order from any Domino's <font color = red>Piece</font> as a <font color = red>concluding</font> of what <font color = red>occurred</font> tonight as I wait for three days for my refund.",0.00015175342559814453,0.00015532970428466797,0,0,0,632,"Failed"
"Considering that Gourmet <font color = red>magazine</font> <font color = red>said</font> it was the best Thai restaurant in North America, AND that Frommers highly recommended it, I <font color = red>expected</font> a lot more. My boyfriend and I both had the wonton soup (<font color = red>excellent</font>) and the chicken with cashew nuts. Personally, I've had much <font color = red>better</font> at other Thai restaurants. \n\nIt's a run-down little place, but obviously plenty of people know about it. Autographed pictures with celebrities adorn the walls. Service is okay, but nothing exceptional. It was often hard to track down our server.","Considering that Gourmet <font color = green>revue</font> <font color = green>say</font> it was the best Thai restaurant in North America, AND that Frommers highly recommended it, I <font color = green>waits</font> a lot more. My boyfriend and I both had the wonton soup (<font color = green>exquisite</font>) and the chicken with cashew nuts. Personally, I've had much <font color = green>good</font> at other Thai restaurants. \n\nIt's a run-down little place, but obviously plenty of people know about it. Autographed pictures with celebrities adorn the walls. Service is okay, but nothing exceptional. It was often hard to track down our server.",0.0018494725227355957,0.999812126159668,0,1,0,93,"Successful"
"I <font color = green>wish</font> I could have given this place a 5...I really do.  The food was excellent.  My friend had the chicken mole and I had the chicken enchiladas...delicious!  The service was great...until the <font color = green>storm</font> hit.  All of a sudden there was crazy wind and rain, and I guess their computers went down.  We waited for over 30 minutes in order to get our check.  Our poor server tried his best to keep us happy, but he was a bit frazzled himself.  After finding out it was only his 3rd day on the job, I was much more impressed with how he handled things.  If it wasn't for that crazyness, and no manager addressing our table when it all happened, there would have been 5 stars.  Good food.  Job well done, <font color = green>Jason</font>.  <font color = green>Thank</font> you for the birthday cake!","I <font color = red>aspirations</font> I could have given this place a 5...I really do.  The food was excellent.  My friend had the chicken mole and I had the chicken enchiladas...delicious!  The service was great...until the <font color = red>cyclones</font> hit.  All of a sudden there was crazy wind and rain, and I guess their computers went down.  We waited for over 30 minutes in order to get our check.  Our poor server tried his best to keep us happy, but he was a bit frazzled himself.  After finding out it was only his 3rd day on the job, I was much more impressed with how he handled things.  If it wasn't for that crazyness, and no manager addressing our table when it all happened, there would have been 5 stars.  Good food.  Job well done, <font color = red>Jas</font>.  <font color = red>Acknowledgment</font> you for the birthday cake!",0.005429565906524658,0.8321110606193542,1,0,1,130,"Successful"
"The sandwich with eggs and <font color = green>bacon</font> was <font color = green>amazing</font>! I think the <font color = green>wait</font> was too long and next time I will order to go but I will <font color = green>definitely</font> stop by again!  They should put tables outside instead of having all of the seats for <font color = green>waiting</font> outside!","The sandwich with eggs and <font color = red>fat</font> was <font color = red>startling</font>! I think the <font color = red>expect</font> was too long and next time I will order to go but I will <font color = red>unequivocally</font> stop by again!  They should put tables outside instead of having all of the seats for <font color = red>hoped</font> outside!",0.00014460086822509766,0.9987679123878479,1,0,1,76,"Successful"
"<font color = red>Machines</font> are very <font color = red>old</font> - many out-of-order. <font color = red>Premises</font> not very clean.  A tacky place.  <font color = red>Will</font> not go there again.","<font color = red>Calculators</font> are very <font color = red>antique</font> - many out-of-order. <font color = red>Site</font> not very clean.  A tacky place.  <font color = red>Want</font> not go there again.",0.00015223026275634766,0.00015485286712646484,0,0,0,50,"Failed"
"<font color = red>Meh</font>. I've <font color = red>experienced</font> <font color = red>better</font>.\n\nMuch better does <font color = red>exist</font> out there... <font color = red>somewhere</font>... and cheaper too.  Unfortunately, they don't exist as close by for when I need my version of comfort food.\n\nShort answer is yes, they'll do if you got a hankering.  I went for a low risk chicken chow mein.  If they can pass this simple test, then at least I can give them another shot later on.  Decent ingredients and decent serving size, but I'd say about 25% over-priced.  Tastey noodles; therefore they'll receive a passing grade from me.  Stir fried just right and without excessive oil.  When I can't take it any more, I'll <font color = red>probably</font> be back.\n\nThe Asian staff was a <font color = red>bonus</font>, but it <font color = red>looked</font> to me that the menu had been Americanized some.  Sad what has to be comprised in order to survive.  I guess my biggest qualm is that I've been spoiled by growing up surrounded by good, cheap, authentic Chinese food.  So when an <font color = red>establishment</font> can't meet all three criteria, I just pine for days of ol'.  Maybe my standard isn't terribly fair, but since I know it to exist, the burden is on them.","<font color = green>Alittle</font>. I've <font color = green>piloted</font> <font color = green>improved</font>.\n\nMuch better does <font color = green>are</font> out there... <font color = green>everywhere</font>... and cheaper too.  Unfortunately, they don't exist as close by for when I need my version of comfort food.\n\nShort answer is yes, they'll do if you got a hankering.  I went for a low risk chicken chow mein.  If they can pass this simple test, then at least I can give them another shot later on.  Decent ingredients and decent serving size, but I'd say about 25% over-priced.  Tastey noodles; therefore they'll receive a passing grade from me.  Stir fried just right and without excessive oil.  When I can't take it any more, I'll <font color = green>arguably</font> be back.\n\nThe Asian staff was a <font color = green>premiums</font>, but it <font color = green>reviewed</font> to me that the menu had been Americanized some.  Sad what has to be comprised in order to survive.  I guess my biggest qualm is that I've been spoiled by growing up surrounded by good, cheap, authentic Chinese food.  So when an <font color = green>establishments</font> can't meet all three criteria, I just pine for days of ol'.  Maybe my standard isn't terribly fair, but since I know it to exist, the burden is on them.",0.00014913082122802734,0.8010374903678894,0,1,0,160,"Successful"
"<font color = red>If</font> I <font color = red>could</font> <font color = red>drop</font> a zero-spot here, I would.\n\nThis.<font color = red>place</font>.is.<font color = red>awful</font>.\nI had never been to one before now, and I <font color = red>absolutely</font> will not go back.\n\nFor those who <font color = red>enjoy</font> three <font color = red>times</font> the amount of <font color = red>mayonnaise</font> as meat in a sando, this is the place for you. <font color = red>Assembly</font> line <font color = red>sandwich</font> at it's <font color = red>worst</font>.","<font color = green>Until</font> I <font color = green>was</font> <font color = green>waterfalls</font> a zero-spot here, I would.\n\nThis.<font color = green>platz</font>.is.<font color = green>horrific</font>.\nI had never been to one before now, and I <font color = green>downright</font> will not go back.\n\nFor those who <font color = green>have</font> three <font color = green>days</font> the amount of <font color = green>sauce</font> as meat in a sando, this is the place for you. <font color = green>Joint</font> line <font color = green>steak</font> at it's <font color = green>finest</font>.",0.00015032291412353516,0.5646220445632935,0,1,0,202,"Successful"
"Marquee in the <font color = green>Cosmopolitan</font> will <font color = green>become</font> the <font color = green>next</font> big <font color = green>club</font> in Vegas. From the moment I walked into the <font color = green>lobby</font> to being in the night club. I was in <font color = green>awe</font>.\n\nThis club is <font color = green>giant</font>, you have take an elevator up to the 6th floor and up there were 3 levels to the club. The first floor you get off of is the main dance floor where the dj is. Lots of tables and a pretty big dance floor. A long bar and the nicest <font color = green>bathroom</font> ever with lots of sitting room but they don't let you sit for very long. They make you leave after a while.\n\nIf you go downstairs, it's called the <font color = green>Boombox</font>. A <font color = green>smaller</font> dance area with another bar playing different music than the other floor. If you go up one level from the main floor, you're at the library. Definitely just a place for you to <font color = green>chill</font> and rest up, again playing different music from the other floors and has its own <font color = green>bars</font> and some pool tables. From that floor, there's a <font color = green>balcony</font> that you can go on that is above the main dance floor and you could see everything. There's also an outside part to club by the pool? with an outdoor bar and cabana seating. We didn't stay out there very long because it was <font color = green>freezing</font> but I <font color = green>bet</font> it's really nice during the summer.\n\nThe only reason I'm <font color = green>giving</font> it 4 <font color = green>stars</font> is that there's not that many places to sit on the main floor. And when it gets crowded, the walk ways are almost <font color = green>impossible</font> to go through <font color = green>without</font> <font color = green>squeezing</font> past one another.\n\nOther than those, I'll definitely be <font color = green>going</font> back to this place when I get the chance especially to see Kaskade since he's made his home here for the next year! He'll be there once every <font color = green>month</font>!","Marquee in the <font color = red>Metropole</font> will <font color = red>es</font> the <font color = red>impending</font> big <font color = red>nightclub</font> in Vegas. From the moment I walked into the <font color = red>lobbying</font> to being in the night club. I was in <font color = red>dazzle</font>.\n\nThis club is <font color = red>large</font>, you have take an elevator up to the 6th floor and up there were 3 levels to the club. The first floor you get off of is the main dance floor where the dj is. Lots of tables and a pretty big dance floor. A long bar and the nicest <font color = red>restroom</font> ever with lots of sitting room but they don't let you sit for very long. They make you leave after a while.\n\nIf you go downstairs, it's called the <font color = red>Library</font>. A <font color = red>weakest</font> dance area with another bar playing different music than the other floor. If you go up one level from the main floor, you're at the library. Definitely just a place for you to <font color = red>icy</font> and rest up, again playing different music from the other floors and has its own <font color = red>pubs</font> and some pool tables. From that floor, there's a <font color = red>terrace</font> that you can go on that is above the main dance floor and you could see everything. There's also an outside part to club by the pool? with an outdoor bar and cabana seating. We didn't stay out there very long because it was <font color = red>chilled</font> but I <font color = red>betting</font> it's really nice during the summer.\n\nThe only reason I'm <font color = red>delivering</font> it 4 <font color = red>celebrities</font> is that there's not that many places to sit on the main floor. And when it gets crowded, the walk ways are almost <font color = red>unavailable</font> to go through <font color = red>unless</font> <font color = red>shoving</font> past one another.\n\nOther than those, I'll definitely be <font color = red>let</font> back to this place when I get the chance especially to see Kaskade since he's made his home here for the next year! He'll be there once every <font color = red>mois</font>!",0.00014579296112060547,0.5760142207145691,1,0,1,285,"Successful"
"Just <font color = red>waited</font> 20 <font color = red>minutes</font> for a muffin and ice water. Paid $3 plus a $1 tip and never got <font color = red>served</font>. When I <font color = red>finally</font> got up to leave, I <font color = red>told</font> the cashier I was leaving and to <font color = red>cancel</font> my order. She <font color = red>said</font>, \""""<font color = red>Okay</font>...\"""" and didn't <font color = red>make</font> any <font color = red>attempt</font> to give me a <font color = red>refund</font> or apologize. Definitely won't be <font color = red>going</font> back!","Just <font color = red>envisaged</font> 20 <font color = red>mn</font> for a muffin and ice water. Paid $3 plus a $1 tip and never got <font color = red>proceeded</font>. When I <font color = red>eventually</font> got up to leave, I <font color = red>mention</font> the cashier I was leaving and to <font color = red>canceled</font> my order. She <font color = red>argued</font>, \""""<font color = red>Allright</font>...\"""" and didn't <font color = red>deliver</font> any <font color = red>effort</font> to give me a <font color = red>discount</font> or apologize. Definitely won't be <font color = red>goes</font> back!",0.00015044212341308594,0.00015413761138916016,0,0,0,312,"Failed"
