"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Asked and was <font color = red>confirmed</font> for a female masseur and was given a male masseur who I didn't want to offend by <font color = red>declining</font> the massage. \n\nHe <font color = red>massaged</font> with a very soft grip and pressure which was very awkward because his hand skin was very dry and hard.\n\nAbout the facilities: Outside light penetrating in the room. Some showers had all he lotions necessary, some didn't even have the bare minimum like shampoo and <font color = red>conditioner</font>. The <font color = red>gym</font> was <font color = red>very</font> <font color = red>basic</font> and while I could <font color = red>use</font> it while <font color = red>waiting</font> for my <font color = red>friends</font> who were forgotten about,  it wasn't properly <font color = red>equipped</font> for free-weight training.\n\nThis <font color = red>place</font> <font color = red>sucks</font> if you <font color = red>want</font> to <font color = red>relax</font>. I <font color = red>had</font> a coupon for a special <font color = red>deal</font> but it <font color = red>still</font> wasn't worth it.","Asked and was <font color = green>highlighting</font> for a female masseur and was given a male masseur who I didn't want to offend by <font color = green>narrowing</font> the massage. \n\nHe <font color = green>tugged</font> with a very soft grip and pressure which was very awkward because his hand skin was very dry and hard.\n\nAbout the facilities: Outside light penetrating in the room. Some showers had all he lotions necessary, some didn't even have the bare minimum like shampoo and <font color = green>conditioners</font>. The <font color = green>weightlifting</font> was <font color = green>enormously</font> <font color = green>keystone</font> and while I could <font color = green>employ</font> it while <font color = green>await</font> for my <font color = green>pal</font> who were forgotten about,  it wasn't properly <font color = green>crafted</font> for free-weight training.\n\nThis <font color = green>situ</font> <font color = green>blows</font> if you <font color = green>dreamed</font> to <font color = green>unwind</font>. I <font color = green>possesses</font> a coupon for a special <font color = green>confronting</font> but it <font color = green>once</font> wasn't worth it.",0.00014972686767578125,0.9862074255943298,0,1,0,654,"Successful"
"Don't order from Domino's Pizza in North Las Vegas. They charged my credit card, then messed up the <font color = red>order</font>. They <font color = red>said</font> I would not <font color = red>get</font> a refund on my credit <font color = red>card</font> for three business days. <font color = red>Just</font> a <font color = red>few</font> seconds of their <font color = red>mistake</font> and suddenly I am responsible for the charges for three business days. <font color = red>This</font> is a <font color = red>management</font> <font color = red>problem</font>. <font color = red>I</font> <font color = red>hope</font> someone in Domino's corporate <font color = red>manager</font> <font color = red>reads</font> this. This is poor <font color = red>customer</font> <font color = red>service</font>. I will never again order from any Domino's Pizza as a result of what <font color = red>happened</font> <font color = red>tonight</font> as I <font color = red>wait</font> for three days for my refund.","Don't order from Domino's Pizza in North Las Vegas. They charged my credit card, then messed up the <font color = red>ordinance</font>. They <font color = red>assert</font> I would not <font color = red>arrive</font> a refund on my credit <font color = red>graphics</font> for three business days. <font color = red>Jen</font> a <font color = red>modest</font> seconds of their <font color = red>misunderstanding</font> and suddenly I am responsible for the charges for three business days. <font color = red>That</font> is a <font color = red>manager</font> <font color = red>question</font>. <font color = red>me</font> <font color = red>volition</font> someone in Domino's corporate <font color = red>direktor</font> <font color = red>reading</font> this. This is poor <font color = red>buyers</font> <font color = red>serving</font>. I will never again order from any Domino's Pizza as a result of what <font color = red>dawned</font> <font color = red>weekend</font> as I <font color = red>waiting</font> for three days for my refund.",0.00015175342559814453,0.0001556873321533203,0,0,0,1180,"Failed"
"Considering that Gourmet magazine said it was the best Thai restaurant in North America, AND that Frommers highly recommended it, I expected a lot more. My boyfriend and I both had the wonton soup (excellent) and the chicken with cashew nuts. Personally, I've had much <font color = red>better</font> at other Thai restaurants. \n\nIt's a run-down little place, but obviously plenty of people know about it. Autographed pictures with celebrities adorn the walls. Service is okay, but nothing exceptional. It was often hard to track down our server.","Considering that Gourmet magazine said it was the best Thai restaurant in North America, AND that Frommers highly recommended it, I expected a lot more. My boyfriend and I both had the wonton soup (excellent) and the chicken with cashew nuts. Personally, I've had much <font color = green>best</font> at other Thai restaurants. \n\nIt's a run-down little place, but obviously plenty of people know about it. Autographed pictures with celebrities adorn the walls. Service is okay, but nothing exceptional. It was often hard to track down our server.",0.0018494725227355957,0.5660779476165771,0,1,0,73,"Successful"
"I wish I could have given this place a 5...I really do.  The food was excellent.  My friend had the chicken mole and I had the chicken enchiladas...delicious!  The service was great...until the storm hit.  All of a sudden there was crazy wind and rain, and I guess their computers went down.  We waited for over 30 minutes in order to get our check.  Our poor server tried his best to keep us happy, but he was a bit frazzled himself.  After finding out it was only his 3rd day on the job, I was much more impressed with how he handled things.  If it wasn't for that crazyness, and no manager addressing our table when it all happened, there would have been 5 stars.  Good <font color = green>food</font>.  Job well done, <font color = green>Jason</font>.  <font color = green>Thank</font> you for the birthday cake!","I wish I could have given this place a 5...I really do.  The food was excellent.  My friend had the chicken mole and I had the chicken enchiladas...delicious!  The service was great...until the storm hit.  All of a sudden there was crazy wind and rain, and I guess their computers went down.  We waited for over 30 minutes in order to get our check.  Our poor server tried his best to keep us happy, but he was a bit frazzled himself.  After finding out it was only his 3rd day on the job, I was much more impressed with how he handled things.  If it wasn't for that crazyness, and no manager addressing our table when it all happened, there would have been 5 stars.  Good <font color = red>meal</font>.  Job well done, <font color = red>Zach</font>.  <font color = red>Acknowledgment</font> you for the birthday cake!",0.005429565906524658,0.557396650314331,1,0,1,174,"Successful"
"The sandwich with eggs and bacon was <font color = green>amazing</font>! I think the wait was too long and next time I will order to go but I will <font color = green>definitely</font> stop by again!  They should put tables outside instead of having all of the seats for waiting outside!","The sandwich with eggs and bacon was <font color = red>whopping</font>! I think the wait was too long and next time I will order to go but I will <font color = red>assuredly</font> stop by again!  They should put tables outside instead of having all of the seats for waiting outside!",0.00014460086822509766,0.9967268705368042,1,0,1,84,"Successful"
"<font color = red>Machines</font> are very <font color = red>old</font> - many out-of-order. <font color = red>Premises</font> not very <font color = red>clean</font>.  A <font color = red>tacky</font> place.  <font color = red>Will</font> not go there again.","<font color = green>Computer</font> are very <font color = green>veteran</font> - many out-of-order. <font color = green>Installations</font> not very <font color = green>purified</font>.  A <font color = green>distasteful</font> place.  <font color = green>Longing</font> not go there again.",0.00015223026275634766,0.898630678653717,0,1,0,212,"Successful"
"<font color = red>Meh</font>. I've experienced better.\n\nMuch better does exist out there... somewhere... and cheaper too.  Unfortunately, they don't exist as close by for when I need my version of comfort food.\n\nShort answer is yes, they'll do if you got a hankering.  I went for a low risk chicken chow mein.  If they can pass this simple test, then at least I can give them another shot later on.  Decent ingredients and decent serving size, but I'd say about 25% over-priced.  Tastey noodles; therefore they'll receive a passing grade from me.  Stir fried just right and without excessive <font color = red>oil</font>.  When I can't take it any more, I'll <font color = red>probably</font> be back.\n\nThe Asian staff was a <font color = red>bonus</font>, but it looked to me that the menu <font color = red>had</font> been Americanized some.  <font color = red>Sad</font> what has to be comprised in order to survive.  I <font color = red>guess</font> my <font color = red>biggest</font> qualm is that I've been spoiled by <font color = red>growing</font> up <font color = red>surrounded</font> by <font color = red>good</font>, <font color = red>cheap</font>, <font color = red>authentic</font> Chinese <font color = red>food</font>.  <font color = red>So</font> when an <font color = red>establishment</font> can't <font color = red>meet</font> all <font color = red>three</font> <font color = red>criteria</font>, I just <font color = red>pine</font> for days of ol'.  <font color = red>Maybe</font> my <font color = red>standard</font> isn't <font color = red>terribly</font> <font color = red>fair</font>, but since I <font color = red>know</font> it to exist, the burden is on them.","<font color = green>Alittle</font>. I've experienced better.\n\nMuch better does exist out there... somewhere... and cheaper too.  Unfortunately, they don't exist as close by for when I need my version of comfort food.\n\nShort answer is yes, they'll do if you got a hankering.  I went for a low risk chicken chow mein.  If they can pass this simple test, then at least I can give them another shot later on.  Decent ingredients and decent serving size, but I'd say about 25% over-priced.  Tastey noodles; therefore they'll receive a passing grade from me.  Stir fried just right and without excessive <font color = green>hydrocarbon</font>.  When I can't take it any more, I'll <font color = green>decidedly</font> be back.\n\nThe Asian staff was a <font color = green>bonuses</font>, but it looked to me that the menu <font color = green>holds</font> been Americanized some.  <font color = green>Sadness</font> what has to be comprised in order to survive.  I <font color = green>guessing</font> my <font color = green>bigger</font> qualm is that I've been spoiled by <font color = green>expanding</font> up <font color = green>flanked</font> by <font color = green>exemplary</font>, <font color = green>affordable</font>, <font color = green>faithful</font> Chinese <font color = green>devouring</font>.  <font color = green>Appropriately</font> when an <font color = green>establishing</font> can't <font color = green>fill</font> all <font color = green>four</font> <font color = green>standard</font>, I just <font color = green>pinned</font> for days of ol'.  <font color = green>Likelihood</font> my <font color = green>rules</font> isn't <font color = green>immensely</font> <font color = green>righteous</font>, but since I <font color = green>reckon</font> it to exist, the burden is on them.",0.00014913082122802734,0.8185855150222778,0,1,0,791,"Successful"
"If I could <font color = red>drop</font> a zero-spot here, I would.\n\nThis.<font color = red>place</font>.is.<font color = red>awful</font>.\<font color = red>nI</font> <font color = red>had</font> never been to one before now, and I absolutely will not <font color = red>go</font> back.\n\nFor those who <font color = red>enjoy</font> <font color = red>three</font> <font color = red>times</font> the <font color = red>amount</font> of mayonnaise as <font color = red>meat</font> in a sando, this is the <font color = red>place</font> for you. <font color = red>Assembly</font> line sandwich at it's <font color = red>worst</font>.","If I could <font color = red>dropping</font> a zero-spot here, I would.\n\nThis.<font color = red>venue</font>.is.<font color = red>detestable</font>.\<font color = red>either</font> <font color = red>taken</font> never been to one before now, and I absolutely will not <font color = red>skip</font> back.\n\nFor those who <font color = red>love</font> <font color = red>two</font> <font color = red>dating</font> the <font color = red>sized</font> of mayonnaise as <font color = red>beef</font> in a sando, this is the <font color = red>plaza</font> for you. <font color = red>Together</font> line sandwich at it's <font color = red>lamest</font>.",0.00015032291412353516,0.00018459558486938477,0,0,0,355,"Failed"
"Marquee in the Cosmopolitan <font color = green>will</font> <font color = green>become</font> the next <font color = green>big</font> <font color = green>club</font> in Vegas. <font color = green>From</font> the <font color = green>moment</font> <font color = green>I</font> <font color = green>walked</font> into the lobby to being in the <font color = green>night</font> <font color = green>club</font>. I was in <font color = green>awe</font>.\<font color = green>n</font>\nThis club is giant, you have take an elevator up to the 6th floor and up there were 3 <font color = green>levels</font> to the club. The first <font color = green>floor</font> you get off of is the main dance floor where the dj is. <font color = green>Lots</font> of <font color = green>tables</font> and a <font color = green>pretty</font> <font color = green>big</font> dance <font color = green>floor</font>. A long bar and the nicest bathroom ever with lots of sitting room but they don't let you sit for very long. They make you leave after a while.\n\nIf you go downstairs, it's called the Boombox. A smaller dance area with another bar playing different music than the other floor. If you go up one <font color = green>level</font> from the main floor, you're at the library. Definitely just a place for you to chill and rest up, again playing different music from the other floors and has its own bars and some pool tables. From that floor, there's a balcony that you can go on that is above the main dance floor and you could see everything. There's also an outside part to club by the pool? with an outdoor bar and cabana seating. We didn't stay out there very long because it was freezing but I bet it's really nice during the summer.\n\nThe only reason I'm giving it 4 stars is that there's not that many places to sit on the main floor. And when it gets crowded, the walk ways are almost impossible to go through without squeezing past one another.\n\nOther than those, I'll definitely be going back to this place when I get the chance especially to see Kaskade since he's made his home here for the next year! He'll be there once every month!","Marquee in the Cosmopolitan <font color = red>eagerness</font> <font color = red>constituted</font> the next <font color = red>great</font> <font color = red>disco</font> in Vegas. <font color = red>Across</font> the <font color = red>dated</font> <font color = red>me</font> <font color = red>acted</font> into the lobby to being in the <font color = red>dark</font> <font color = red>nightclub</font>. I was in <font color = red>reverent</font>.\<font color = red>percent</font>\nThis club is giant, you have take an elevator up to the 6th floor and up there were 3 <font color = red>scaling</font> to the club. The first <font color = red>upstairs</font> you get off of is the main dance floor where the dj is. <font color = red>Shipment</font> of <font color = red>table</font> and a <font color = red>somewhat</font> <font color = red>great</font> dance <font color = red>upstairs</font>. A long bar and the nicest bathroom ever with lots of sitting room but they don't let you sit for very long. They make you leave after a while.\n\nIf you go downstairs, it's called the Boombox. A smaller dance area with another bar playing different music than the other floor. If you go up one <font color = red>scale</font> from the main floor, you're at the library. Definitely just a place for you to chill and rest up, again playing different music from the other floors and has its own bars and some pool tables. From that floor, there's a balcony that you can go on that is above the main dance floor and you could see everything. There's also an outside part to club by the pool? with an outdoor bar and cabana seating. We didn't stay out there very long because it was freezing but I bet it's really nice during the summer.\n\nThe only reason I'm giving it 4 stars is that there's not that many places to sit on the main floor. And when it gets crowded, the walk ways are almost impossible to go through without squeezing past one another.\n\nOther than those, I'll definitely be going back to this place when I get the chance especially to see Kaskade since he's made his home here for the next year! He'll be there once every month!",0.00014579296112060547,0.5134797692298889,1,0,1,555,"Successful"
"<font color = red>Just</font> <font color = red>waited</font> 20 <font color = red>minutes</font> for a <font color = red>muffin</font> and <font color = red>ice</font> water. <font color = red>Paid</font> $3 plus a $1 tip and never <font color = red>got</font> served. <font color = red>When</font> <font color = red>I</font> <font color = red>finally</font> <font color = red>got</font> up to <font color = red>leave</font>, I <font color = red>told</font> the <font color = red>cashier</font> I was <font color = red>leaving</font> and to <font color = red>cancel</font> my <font color = red>order</font>. She <font color = red>said</font>, \""""<font color = red>Okay</font>...\"""" and didn't <font color = red>make</font> any attempt to <font color = red>give</font> me a refund or <font color = red>apologize</font>. <font color = red>Definitely</font> won't <font color = red>be</font> <font color = red>going</font> back!","<font color = red>Uniquely</font> <font color = red>hope</font> 20 <font color = red>min</font> for a <font color = red>biscuits</font> and <font color = red>chocolate</font> water. <font color = red>Payroll</font> $3 plus a $1 tip and never <font color = red>enjoys</font> served. <font color = red>Where</font> <font color = red>me</font> <font color = red>arguably</font> <font color = red>arrives</font> up to <font color = red>abandoning</font>, I <font color = red>inform</font> the <font color = red>teller</font> I was <font color = red>abandoning</font> and to <font color = red>cancelled</font> my <font color = red>orders</font>. She <font color = red>argued</font>, \""""<font color = red>Fined</font>...\"""" and didn't <font color = red>pose</font> any attempt to <font color = red>pay</font> me a refund or <font color = red>apology</font>. <font color = red>Apparently</font> won't <font color = red>constituted</font> <font color = red>vanished</font> back!",0.00015044212341308594,0.00022107362747192383,0,0,0,859,"Failed"
